Rank;Sourceid;Title;Issn;SJR;SJR Best Quartile;Year;Categories
143;21100242814;eLife;2050084X;7,296;Q1;2016;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
144;23183;European Heart Journal;15229645, 0195668X;7,285;Q1;2016;Cardiology and Cardiovascular Medicine (Q1)
145;85291;JAMA - Journal of the American Medical Association;15383598, 00987484, 00029955;7,278;Q1;2016;Medicine (miscellaneous) (Q1)
146;17600155041;Nature Geoscience;17520908, 17520894;7,274;Q1;2016;Earth and Planetary Sciences (miscellaneous) (Q1)
147;110092;Morbidity and Mortality Weekly Report;01492195, 1545861X;7,262;Q1;2016;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
148;24769;Materials Today;13697021;7,254;Q1;2016;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
149;17382;Molecular Psychiatry;14765578, 13594184;7,176;Q1;2016;"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)"
150;11700154368;Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques;16181913, 00738301;7,157;Q1;2016;Mathematics (miscellaneous) (Q1)
151;13531;Journal of the Royal Statistical Society. Series B: Statistical Methodology;14679868, 13697412;7,154;Q1;2016;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
152;29488;Progress in Particle and Nuclear Physics;1466410;7,129;Q1;2016;Nuclear and High Energy Physics (Q1)
153;11600154092;Current Protocols in Bioinformatics;19343396, 1934340X;7,116;Q1;2016;"Biochemistry (Q1); Medicine (miscellaneous) (Q1); Structural Biology (Q1)"
154;19136;Annals of the Rheumatic Diseases;00034967, 14682060;7,083;Q1;2016;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)"
155;28366;Gut;14683288, 00175749;7,074;Q1;2016;Gastroenterology (Q1)
156;22738;Philosophy and Public Affairs;10884963, 00483915;7,045;Q1;2016;"History and Philosophy of Science (Q1); Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1)"
157;18555;Journal of Cell Biology;15408140, 00219525;6,995;Q1;2016;"Cell Biology (Q1); Medicine (miscellaneous) (Q1)"
158;11500153511;ACS Nano;1936086X, 19360851;6,948;Q1;2016;"Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Physics and Astronomy (miscellaneous) (Q1)"
159;29709;Reports on Progress in Physics;13616633, 00344885;6,927;Q1;2016;"Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
160;28330;Gastroenterology;15280012, 00165085;6,925;Q1;2016;Gastroenterology (Q1)
161;21100228546;JAMA Internal Medicine;21686114, 21686106;6,845;Q1;2016;Internal Medicine (Q1)
162;72242;International Journal of Computer Vision;09205691, 15731405;6,779;Q1;2016;"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)"
163;23262;Inventiones Mathematicae;00209910, 14321297;6,771;Q1;2016;Mathematics (miscellaneous) (Q1)
164;17435;EMBO Journal;02614189, 14602075;6,758;Q1;2016;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
165;19700188395;Annual Review of Marine Science;19410611, 19411405;6,717;Q1;2016;Oceanography (Q1)
166;17552;Acta Neuropathologica;00016322, 14320533;6,703;Q1;2016;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
167;26574;Annals of Internal Medicine;15393704, 00034819;6,694;Q1;2016;"Internal Medicine (Q1); Medicine (miscellaneous) (Q1)"
168;13649;Annals of Statistics;905364;6,694;Q1;2016;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
169;24204;Review of Economics and Statistics;00346535, 15309142;6,617;Q1;2016;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)"
170;18525;Developmental Cell;15345807, 18781551;6,611;Q1;2016;Developmental Biology (Q1)
171;29229;Physics Reports;3701573;6,611;Q1;2016;Physics and Astronomy (miscellaneous) (Q1)
172;21121;Proceedings of the National Academy of Sciences of the United States of America;10916490, 00278424;6,576;Q1;2016;Multidisciplinary (Q1)
173;21100199127;Advanced Energy Materials;16146832, 16146840;6,515;Q1;2016;"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
174;20810;Immunological Reviews;01052896, 1600065X;6,501;Q1;2016;"Immunology (Q1); Immunology and Allergy (Q1)"
175;22961;Journal of Marketing Research;00222437, 15477193;6,486;Q1;2016;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
176;21100203106;Foundations and Trends in Finance;15672409, 15672395;6,442;Q1;2016;"Economics and Econometrics (Q1); Finance (Q1)"
177;19684;Criminology;17459125, 00111384;6,433;Q1;2016;"Law (Q1); Pathology and Forensic Medicine (Q1)"
178;144840;PLoS Medicine;15491277, 15491676;6,419;Q1;2016;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
179;21100220495;Lancet Respiratory Medicine,The;22132619, 22132600;6,415;Q1;2016;Pulmonary and Respiratory Medicine (Q1)
180;19700182758;Nature Communications;20411723;6,414;Q1;2016;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
181;24535;Acta Numerica;14740508, 09624929;6,354;Q1;2016;"Mathematics (miscellaneous) (Q1); Numerical Analysis (Q1)"
182;12459;Journal of the National Cancer Institute;14602105, 00278874;6,339;Q1;2016;"Cancer Research (Q1); Oncology (Q1)"
183;26038;Endocrine Reviews;19457189, 0163769X;6,334;Q1;2016;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
184;15823;Journal of Public Administration Research and Theory;14779803, 10531858;6,279;Q1;2016;"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
185;22951;Journal of Marketing;15477185, 00222429;6,253;Q1;2016;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
186;22324;Organization Science;15265455, 10477039;6,244;Q1;2016;"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
